# MJD-OBS = 58321.270984
# DATE-OBS = 2018-07-22T06:30:13
# EXPTIME = 620.000000
# AIRMASS = 1.687
# TELESCOPE = UH88
# INSTRUMENT = SNIFS
5.952060e+03 7.049385e-17 1.553837e-17
5.954060e+03 6.782078e-17 1.547358e-17
5.956060e+03 8.265282e-17 1.557527e-17
5.958060e+03 7.463117e-17 1.542277e-17
5.960060e+03 6.278924e-17 1.522844e-17
5.962060e+03 7.466313e-17 1.530029e-17
5.964060e+03 8.072574e-17 1.546471e-17
5.966060e+03 8.360104e-17 1.558482e-17
5.968060e+03 8.328986e-17 1.552287e-17
5.970060e+03 8.207081e-17 1.547124e-17
5.972060e+03 8.204220e-17 1.546856e-17
5.974060e+03 8.447228e-17 1.554901e-17
5.976060e+03 8.759013e-17 1.552979e-17
5.978060e+03 8.948917e-17 1.548544e-17
5.980060e+03 8.966565e-17 1.542328e-17
5.982060e+03 9.289676e-17 1.545003e-17
5.984060e+03 9.451708e-17 1.541657e-17
5.986060e+03 9.383651e-17 1.531453e-17
5.988060e+03 7.718417e-17 1.507068e-17
5.990060e+03 6.567631e-17 1.493772e-17
5.992060e+03 6.077641e-17 1.491839e-17
5.994060e+03 7.912108e-17 1.515452e-17
5.996060e+03 8.299467e-17 1.523708e-17
5.998060e+03 7.850897e-17 1.520475e-17
6.000060e+03 7.298949e-17 1.503803e-17
6.002060e+03 6.747896e-17 1.495279e-17
6.004060e+03 6.675803e-17 1.495621e-17
6.006060e+03 8.078563e-17 1.513025e-17
6.008060e+03 8.473484e-17 1.516664e-17
6.010060e+03 7.986143e-17 1.505605e-17
6.012060e+03 6.198393e-17 1.471029e-17
6.014060e+03 6.486731e-17 1.465440e-17
6.016060e+03 7.901129e-17 1.476776e-17
6.018060e+03 1.052906e-16 1.506978e-17
6.020060e+03 8.946580e-17 1.494438e-17
6.022060e+03 8.137815e-17 1.487395e-17
6.024060e+03 8.694350e-17 1.491389e-17
6.026060e+03 8.607260e-17 1.482628e-17
6.028060e+03 7.980215e-17 1.469540e-17
6.030060e+03 6.888069e-17 1.452944e-17
6.032060e+03 6.070829e-17 1.440909e-17
6.034060e+03 6.085337e-17 1.445220e-17
6.036060e+03 6.799884e-17 1.460359e-17
6.038060e+03 8.410473e-17 1.473504e-17
6.040060e+03 7.877789e-17 1.467099e-17
6.042060e+03 6.547656e-17 1.452951e-17
6.044060e+03 6.346507e-17 1.447218e-17
6.046060e+03 7.121008e-17 1.454199e-17
6.048060e+03 7.877312e-17 1.462214e-17
6.050060e+03 7.633346e-17 1.460634e-17
6.052060e+03 8.025083e-17 1.460150e-17
6.054060e+03 8.503884e-17 1.456736e-17
6.056060e+03 8.852771e-17 1.447119e-17
6.058060e+03 8.123342e-17 1.444595e-17
6.060060e+03 7.461087e-17 1.442320e-17
6.062060e+03 7.117171e-17 1.438943e-17
6.064060e+03 6.405572e-17 1.432764e-17
6.066060e+03 6.282870e-17 1.432975e-17
6.068060e+03 6.846453e-17 1.440530e-17
6.070060e+03 9.060417e-17 1.464140e-17
6.072060e+03 9.129741e-17 1.462668e-17
6.074060e+03 7.631939e-17 1.442873e-17
6.076060e+03 8.153383e-17 1.446773e-17
6.078060e+03 8.254008e-17 1.444896e-17
6.080060e+03 8.226088e-17 1.441277e-17
6.082060e+03 8.903478e-17 1.447471e-17
6.084060e+03 9.920464e-17 1.457905e-17
6.086060e+03 1.082881e-16 1.466625e-17
6.088060e+03 1.083741e-16 1.462874e-17
6.090060e+03 9.638795e-17 1.446534e-17
6.092060e+03 8.335461e-17 1.426750e-17
6.094060e+03 7.692953e-17 1.408239e-17
6.096060e+03 6.069897e-17 1.383706e-17
6.098060e+03 5.692216e-17 1.376078e-17
6.100060e+03 7.830544e-17 1.400007e-17
6.102060e+03 9.274514e-17 1.425915e-17
6.104060e+03 9.533319e-17 1.434996e-17
6.106060e+03 8.352981e-17 1.421937e-17
6.108060e+03 8.392240e-17 1.426217e-17
6.110060e+03 8.169054e-17 1.424183e-17
6.112060e+03 7.644838e-17 1.415130e-17
6.114060e+03 6.957255e-17 1.398780e-17
6.116060e+03 7.030300e-17 1.398416e-17
6.118060e+03 7.756149e-17 1.410207e-17
6.120060e+03 9.215036e-17 1.424761e-17
6.122060e+03 8.149931e-17 1.402431e-17
6.124060e+03 6.381555e-17 1.369759e-17
6.126060e+03 7.737841e-17 1.382461e-17
6.128060e+03 9.521123e-17 1.403787e-17
6.130060e+03 1.036661e-16 1.414303e-17
6.132060e+03 7.888090e-17 1.382068e-17
6.134060e+03 6.997336e-17 1.372720e-17
6.136060e+03 6.604595e-17 1.367353e-17
6.138060e+03 6.346043e-17 1.357125e-17
6.140060e+03 6.833144e-17 1.364827e-17
6.142060e+03 7.341416e-17 1.374667e-17
6.144060e+03 7.685013e-17 1.383095e-17
6.146060e+03 7.610219e-17 1.382153e-17
6.148060e+03 7.681845e-17 1.382787e-17
6.150060e+03 7.965178e-17 1.386162e-17
6.152060e+03 6.791685e-17 1.369610e-17
6.154060e+03 7.058868e-17 1.367242e-17
6.156060e+03 8.436853e-17 1.375958e-17
6.158060e+03 7.322394e-17 1.361902e-17
6.160060e+03 7.023757e-17 1.356376e-17
6.162060e+03 7.201366e-17 1.356044e-17
6.164060e+03 6.945607e-17 1.352542e-17
6.166060e+03 7.083138e-17 1.354983e-17
6.168060e+03 7.503106e-17 1.362548e-17
6.170060e+03 8.267162e-17 1.378630e-17
6.172060e+03 7.928777e-17 1.378451e-17
6.174060e+03 7.454062e-17 1.372675e-17
6.176060e+03 7.641114e-17 1.367210e-17
6.178060e+03 8.003095e-17 1.376147e-17
6.180060e+03 8.416667e-17 1.381055e-17
6.182060e+03 8.850283e-17 1.371896e-17
6.184060e+03 9.152101e-17 1.373316e-17
6.186060e+03 9.063852e-17 1.371593e-17
6.188060e+03 8.451084e-17 1.363408e-17
6.190060e+03 8.162148e-17 1.359537e-17
6.192060e+03 8.409377e-17 1.359819e-17
6.194060e+03 9.192648e-17 1.364369e-17
6.196060e+03 9.231607e-17 1.373682e-17
6.198060e+03 8.284031e-17 1.365287e-17
6.200060e+03 6.691346e-17 1.344716e-17
6.202060e+03 6.573848e-17 1.344605e-17
6.204060e+03 7.331876e-17 1.351666e-17
6.206060e+03 8.408845e-17 1.360635e-17
6.208060e+03 8.402349e-17 1.357038e-17
6.210060e+03 8.463928e-17 1.355751e-17
6.212060e+03 8.368140e-17 1.353049e-17
6.214060e+03 7.645500e-17 1.342217e-17
6.216060e+03 6.015418e-17 1.322397e-17
6.218060e+03 5.165638e-17 1.312703e-17
